DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,Norm mean,Norm std,CV,CV of norm,Distance,Norm Distance,Airports,Day,Month,Year,IsHolidays
2012-02-05,SEA,Seattle,1.0000000000000002,0.0012766862525279699,ORD,Chicago,0.7473928633272919,0.6710189398000861,9.11764705882,7.210082809349999,0.3119367217020976,0.3394749548020768,0.7907832758644996,0.1770691931001689,3825.7988929494127,0.6608401964752163,2,5,2,2012,0
2012-09-13,PHX,Phoenix,0.3528406081525697,0.20173963223618063,ORD,Chicago,0.7473928633272919,0.6710189398000861,9.70588235294,8.96357006082,0.3407530470326766,0.4573530435285166,0.9235193395997484,0.2810100045723054,2679.014872379074,0.4543038538196032,2,13,9,2012,0
2012-01-01,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,9.105263157889999,5.801290439219999,0.31133006222139703,0.24476896143708501,0.6371359441921234,0.05675352390563099,2420.4928123669188,0.40774390895382934,2,1,1,2012,2
2012-06-15,DEN,Denver,0.6496383639449108,0.34459434731456895,SEA,Seattle,1.0000000000000002,0.0012766862525279699,12.68,9.017205775630002,0.4864483879035592,0.4609587016500565,0.7111361021790222,0.11470037161060798,1986.4462899651512,0.3295719256760503,2,15,6,2012,0
2012-01-21,CLT,Charlotte,0.4350230308347669,0.8065405004832809,ATL,Atlanta,0.3621887489465847,0.7387003640355518,8.125,6.04290217252,0.26330917270711285,0.26101129756551145,0.7437418058486154,0.14023271905762313,388.234640924886,0.04173325434698252,2,21,1,2012,0
2013-02-07,DEN,Denver,0.6496383639449108,0.34459434731456895,MSP,Minneapolis,0.881461320896298,0.5675158208024074,6.57142857143,4.30945803686,0.1872031992004758,0.1444806062506154,0.6557870925655096,0.07135856372874705,1275.4904022040619,0.20152843517238794,2,7,2,2013,0
2012-06-16,DTW,Detroit,0.7581909654479757,0.7596208255651364,ATL,Atlanta,0.3621887489465847,0.7387003640355518,11.05,10.0915545722,0.40659835041284403,0.5331817432826969,0.9132628572126696,0.27297852411279,156.51256917638386,0.0,2,16,6,2012,0
2012-12-25,ATL,Atlanta,0.3621887489465847,0.7387003640355518,CLT,Charlotte,0.4350230308347669,0.8065405004832809,7.64705882353,5.89428935995,0.23989590837613983,0.25102080901686297,0.7707916855318638,0.16141450165220428,388.234640924886,0.04173325434698252,2,25,12,2012,2
2012-11-02,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,ATL,Atlanta,0.3621887489465847,0.7387003640355518,15.2068965517,12.1107370023,0.6102353721909235,0.6689211764896729,0.7963976713543254,0.1814656231788998,3779.583120066245,0.6525167139945791,2,2,11,2012,0
2011-12-26,LAS,Las Vegas,0.4750149960172241,0.14060113014463704,SFO,San Francisco,0.5460776929914688,0.0,10.1904761905,6.53160812985,0.36449221028233036,0.2938645299748097,0.64095219965668,0.05974189555541998,807.5231832777396,0.1172473184615949,2,26,12,2011,2
2012-07-01,LGA,New York,0.6919176200316315,0.9441805859593362,BOS,Boston,0.765205407339852,1.0,7.333333333330001,8.44590630621,0.22452720153303374,0.422553124712327,1.151714496301887,0.4597013797281968,323.3318296838956,0.03004422744973377,1,1,7,2012,1
2011-10-20,ATL,Atlanta,0.3621887489465847,0.7387003640355518,MIA,Miami,0.0,0.8192441545511606,11.619047619000002,8.69756397203,0.4344747146528148,0.4394707981287431,0.7485608336613875,0.14400632547076342,473.55355045901877,0.05709923017020781,2,20,10,2011,0
2012-10-15,EWR,Newark,0.6880043406485579,0.9384172867013378,ORD,Chicago,0.7473928633272919,0.6710189398000861,7.8125,5.25634537171,0.24800049987530398,0.20813505778872513,0.67281220757888,0.08469031562871132,1527.9398870021992,0.24699470637973342,2,15,10,2012,0
2012-03-19,ATL,Atlanta,0.3621887489465847,0.7387003640355518,CLT,Charlotte,0.4350230308347669,0.8065405004832809,10.1578947368,8.48700416909,0.3628961180740806,0.4253159263939328,0.8355081824527378,0.2120916500947444,388.234640924886,0.04173325434698252,2,19,3,2012,0
2012-11-08,MSP,Minneapolis,0.881461320896298,0.5675158208024074,DEN,Denver,0.6496383639449108,0.34459434731456895,8.055555555560002,6.178446618230001,0.2599072454113731,0.2701232658358168,0.7669795801936458,0.15842937981627303,1275.4904022040619,0.20152843517238794,2,8,11,2012,0
2012-02-05,LAS,Las Vegas,0.4750149960172241,0.14060113014463704,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,14.433333333299998,10.3413576556,0.572340248270262,0.5499747424929721,0.7164912925374515,0.11889382752439126,377.6032638053681,0.03981853831652568,2,5,2,2012,0
2012-09-09,ORD,Chicago,0.7473928633272919,0.6710189398000861,LAS,Las Vegas,0.4750149960172241,0.14060113014463704,14.153846153800002,10.4830999526,0.5586487993369804,0.5595033609919365,0.7406538010013282,0.13781461413101392,3029.579253321205,0.5174406640701572,2,9,9,2012,0
2012-04-23,LAS,Las Vegas,0.4750149960172241,0.14060113014463704,JFK,New York,0.6855685441510919,0.9460042871958705,13.461538461500002,9.356199096769998,0.5247342010638114,0.48374750992540116,0.6950319329048998,0.1020897790155495,4598.323701126353,0.799972278567049,2,23,4,2012,0
2012-02-13,ORD,Chicago,0.7473928633272919,0.6710189398000861,MSP,Minneapolis,0.881461320896298,0.5675158208024074,9.833333333330001,7.229433302989999,0.3469965841875049,0.3407757907244846,0.7351966070839778,0.13354128291892098,591.2192684676628,0.07829088144676259,2,13,2,2012,0
2012-10-21,ATL,Atlanta,0.3621887489465847,0.7387003640355518,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,10.7727272727,8.624062782380001,0.39301538251710294,0.4345296845005727,0.8005459122904657,0.18471396064613377,1027.6848410103114,0.15689853679516363,2,21,10,2012,0
2012-04-23,BOS,Boston,0.765205407339852,1.0,EWR,Newark,0.6880043406485579,0.9384172867013378,9.529411764710002,7.80318562398,0.33210814943379696,0.37934626048065845,0.818852812392609,0.19904943209684245,356.2123684197035,0.035966027974703205,2,23,4,2012,0
2012-02-05,DTW,Detroit,0.7581909654479757,0.7596208255651364,LGA,New York,0.6919176200316315,0.9441805859593362,6.3571428571399995,5.32926813935,0.1767058235441683,0.21303728702754007,0.8383118421453206,0.21428709461327422,1054.935853740084,0.16180645703289903,1,5,2,2012,0
2012-03-01,EWR,Newark,0.6880043406485579,0.9384172867013378,ORD,Chicago,0.7473928633272919,0.6710189398000861,10.5263157895,10.7464124301,0.38094423762651236,0.5772045285136866,1.0209091808569477,0.35727246742193786,1527.9398870021992,0.24699470637973342,2,1,3,2012,0
2011-09-19,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,BOS,Boston,0.765205407339852,1.0,8.588235294119999,6.07308430216,0.2860020289049683,0.26304028965123905,0.7071399529910393,0.11157113169137134,477.88487627158105,0.05787930399067451,2,19,9,2011,0
2012-08-07,LGA,New York,0.6919176200316315,0.9441805859593362,ATL,Atlanta,0.3621887489465847,0.7387003640355518,10.8181818182,8.802793732060001,0.3952420985675928,0.44654486324046805,0.8137036222898931,0.19501728753386904,1181.3369431650299,0.18457135281905562,1,7,8,2012,0
2012-10-25,ORD,Chicago,0.7473928633272919,0.6710189398000861,SEA,Seattle,1.0000000000000002,0.0012766862525279699,12.541666666700001,8.82673393074,0.4796717487316448,0.4481542418440272,0.7037927386617838,0.10895004919303908,3825.7988929494127,0.6608401964752163,2,25,10,2012,0
2012-01-22,LAS,Las Vegas,0.4750149960172241,0.14060113014463704,DEN,Denver,0.6496383639449108,0.34459434731456895,12.375,8.171065068139999,0.4715071232197137,0.40407693686451673,0.6602880863143433,0.07488312916725459,1173.7708183524433,0.18320869017392188,2,22,1,2012,0
2012-09-11,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,14.0,11.534296684200001,0.5511122219451199,0.6301700062684326,0.8238783345857144,0.20298473679191376,2377.1599998508937,0.3999396489942337,2,11,9,2012,0
2013-01-27,CLT,Charlotte,0.4350230308347669,0.8065405004832809,LGA,New York,0.6919176200316315,0.9441805859593362,6.266666666669999,4.66700679033,0.1722735982674526,0.1685168024934061,0.7447351261160934,0.1410105522383578,797.0463706295586,0.1153604395652817,1,27,1,2013,0
2012-07-30,SFO,San Francisco,0.5460776929914688,0.0,SEA,Seattle,1.0000000000000002,0.0012766862525279699,14.518518518499999,12.1033065106,0.5765132790873622,0.668421662073951,0.8336461117005531,0.21063352982543582,584.4685506498537,0.07707507398574046,2,30,7,2012,0
2011-11-01,ORD,Chicago,0.7473928633272919,0.6710189398000861,MSP,Minneapolis,0.881461320896298,0.5675158208024074,11.333333333299999,9.37194394634,0.4204782137787178,0.4848059566138736,0.8269362305618441,0.20537926455032507,591.2192684676628,0.07829088144676259,2,1,11,2011,0
2013-02-18,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,13.3181818182,10.4215270046,0.517711481222064,0.5553641227845257,0.7825037341327201,0.17058578337713337,2377.1599998508937,0.3999396489942337,2,18,2,2013,0
2012-04-16,SFO,San Francisco,0.5460776929914688,0.0,LAS,Las Vegas,0.4750149960172241,0.14060113014463704,11.2857142857,8.96740127987,0.41814546363385147,0.457610597028679,0.7945798602426514,0.18004216103354553,807.5231832777396,0.1172473184615949,2,16,4,2012,0
2012-02-28,ATL,Atlanta,0.3621887489465847,0.7387003640355518,MIA,Miami,0.0,0.8192441545511606,11.0,9.74409402772,0.4041489627597546,0.5098237263613794,0.8858267297927273,0.25149428488320336,473.55355045901877,0.05709923017020781,2,28,2,2012,0
2012-11-22,SFO,San Francisco,0.5460776929914688,0.0,ORD,Chicago,0.7473928633272919,0.6710189398000861,10.5714285714,7.12440473704,0.38315421144615996,0.33371525087426,0.6739301778299295,0.08556575770395292,3833.4597352605124,0.6622199177864786,2,22,11,2012,0
2012-02-21,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,ORD,Chicago,0.7473928633272919,0.6710189398000861,11.3125,11.3061561402,0.4194576355915635,0.6148332701358001,0.9994392168132598,0.34046011498221507,1408.7645504937798,0.22553117209979162,2,21,2,2012,0
2012-12-17,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,ORD,Chicago,0.7473928633272919,0.6710189398000861,13.0454545455,10.986906808199999,0.5043511849338214,0.5933717504972602,0.8422019156082152,0.21733327046813433,1013.6221962809236,0.1543658478507986,2,17,12,2012,0
2011-12-18,BOS,Boston,0.765205407339852,1.0,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,12.409090909100001,9.40951438911,0.4731771602563564,0.48733162766316185,0.7582758848361477,0.15161383072730028,5258.1449040785465,0.9188063882336603,2,18,12,2011,2
2012-11-12,ORD,Chicago,0.7473928633272919,0.6710189398000861,MSP,Minneapolis,0.881461320896298,0.5675158208024074,10.5454545455,8.06950327572,0.38188180227935026,0.39724945068344275,0.7652115175218741,0.15704487387518917,591.2192684676628,0.07829088144676259,2,12,11,2012,0
2012-02-28,MIA,Miami,0.0,0.8192441545511606,JFK,New York,0.6855685441510919,0.9460042871958705,10.8636363636,7.23283159031,0.3974688146131839,0.3410042404117516,0.6657836610349482,0.07918651499843887,807.8739736741641,0.11731049597734035,2,28,2,2012,0
2012-06-24,MIA,Miami,0.0,0.8192441545511606,LGA,New York,0.6919176200316315,0.9441805859593362,11.583333333299999,7.222649560010001,0.4327251520441649,0.34031975395762293,0.6235380915134492,0.046105537202341174,799.5642198340215,0.11581390539382498,1,24,6,2012,0
2011-10-21,ATL,Atlanta,0.3621887489465847,0.7387003640355518,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,10.0909090909,7.4444552130999995,0.35961464179404706,0.3552306273803123,0.7377388049024663,0.1355319860989055,3779.583120066245,0.6525167139945791,2,21,10,2011,0
2012-08-22,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,JFK,New York,0.6855685441510919,0.9460042871958705,21.363636363599998,14.026703617599999,0.9118402217619623,0.7977219319476282,0.6565691055057984,0.07197092978291497,4955.860857969598,0.8643648890440983,2,22,8,2012,0
2011-10-03,ATL,Atlanta,0.3621887489465847,0.7387003640355518,CLT,Charlotte,0.4350230308347669,0.8065405004832809,8.444444444439998,6.861848680950001,0.2789580382682997,0.31606493374221634,0.8125873437971384,0.19414317021337013,388.234640924886,0.04173325434698252,2,3,10,2011,0
2012-05-28,SEA,Seattle,1.0000000000000002,0.0012766862525279699,DEN,Denver,0.6496383639449108,0.34459434731456895,10.619047619,7.499841268160001,0.3854869615910263,0.3589539520335694,0.7062630790675618,0.11088448343165802,1986.4462899651512,0.3295719256760503,2,28,5,2012,1
2011-10-07,MSP,Minneapolis,0.881461320896298,0.5675158208024074,ATL,Atlanta,0.3621887489465847,0.7387003640355518,9.27777777778,6.533223288389999,0.3197811658201168,0.29397310892314577,0.7041797556346815,0.1092531081890985,973.7448004122537,0.14718391005814518,2,7,10,2011,0
2012-11-27,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,EWR,Newark,0.6880043406485579,0.9384172867013378,12.8695652174,10.033146646,0.4957347619626546,0.5292552735001769,0.7796026110062301,0.1683140187680109,4912.5186714542615,0.8565589408228079,2,27,11,2012,2
2012-05-25,EWR,Newark,0.6880043406485579,0.9384172867013378,BOS,Boston,0.765205407339852,1.0,11.5714285714,10.2204277238,0.43214196450794834,0.5418452341555421,0.8832468403305759,0.2494740667400822,356.2123684197035,0.035966027974703205,2,25,5,2012,1
2012-09-12,DEN,Denver,0.6496383639449108,0.34459434731456895,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,9.125,7.570777150770001,0.3122969257689013,0.36372261303020914,0.8296742083035618,0.20752327590834163,860.1757255797753,0.12673006614862148,2,12,9,2012,0
2012-10-02,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,LGA,New York,0.6919176200316315,0.9441805859593362,11.55,9.58878182264,0.43109222694373833,0.49938287150180116,0.8301975604017315,0.20793309401081228,2571.4703686921193,0.43493503801314476,1,2,10,2012,0
2012-03-09,LGA,New York,0.6919176200316315,0.9441805859593362,ORD,Chicago,0.7473928633272919,0.6710189398000861,12.565217391300001,9.82032255977,0.4808254458127757,0.514948185439678,0.7815481621964988,0.16983750954954002,1560.8617188022472,0.25292394380503647,1,9,3,2012,0
2012-08-19,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,EWR,Newark,0.6880043406485579,0.9384172867013378,15.9375,11.763633134200001,0.6460259935023349,0.6455871371193375,0.7381103143027452,0.13582290167563627,4912.5186714542615,0.8565589408228079,2,19,8,2012,1
2011-10-18,BOS,Boston,0.765205407339852,1.0,EWR,Newark,0.6880043406485579,0.9384172867013378,11.409090909100001,8.31899198855,0.42418940719456805,0.4140213163485995,0.7291546762866699,0.12881006540155293,356.2123684197035,0.035966027974703205,2,18,10,2011,0
2013-01-02,LGA,New York,0.6919176200316315,0.9441805859593362,ORD,Chicago,0.7473928633272919,0.6710189398000861,13.333333333299999,10.5528346353,0.5184537199022947,0.5641912713874809,0.7914625976494787,0.17760114542416017,1560.8617188022472,0.25292394380503647,1,2,1,2013,2
2013-02-02,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,ORD,Chicago,0.7473928633272919,0.6710189398000861,7.533333333330001,5.26262653959,0.23432475214539145,0.20855730897078742,0.6985787441936719,0.10486715867499774,1013.6221962809236,0.1543658478507986,2,2,2,2013,0
2012-07-13,ORD,Chicago,0.7473928633272919,0.6710189398000861,ATL,Atlanta,0.3621887489465847,0.7387003640355518,9.8,7.964394449510001,0.3453636590856085,0.39018351534143936,0.8126933111744898,0.19422614943455196,390.6479276846078,0.042167888429941125,2,13,7,2012,1
2011-11-21,IAH,Houston,0.1935367281207072,0.5262526896201161,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,11.5454545455,8.57308786248,0.43086955534113863,0.4311028981776279,0.7425509172197536,0.13930017723761168,2567.4154543705886,0.43420474603250286,2,21,11,2011,0
2012-02-16,ATL,Atlanta,0.3621887489465847,0.7387003640355518,LGA,New York,0.6919176200316315,0.9441805859593362,8.944444444439998,7.34424322151,0.3034519147991939,0.34849388148940486,0.8210955154487312,0.20080561175883194,1181.3369431650299,0.18457135281905562,1,16,2,2012,0
2012-12-07,MSP,Minneapolis,0.881461320896298,0.5675158208024074,DEN,Denver,0.6496383639449108,0.34459434731456895,7.0,5.4160256030900005,0.20819795051260087,0.21886955298775804,0.7737179432985715,0.1637059482891552,1275.4904022040619,0.20152843517238794,2,7,12,2012,0
2012-12-17,ATL,Atlanta,0.3621887489465847,0.7387003640355518,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,7.117647058819999,5.06066143085,0.2139612155785207,0.19498021510384286,0.7110020192106832,0.11459537608684767,1027.6848410103114,0.15689853679516363,2,17,12,2012,0
2011-10-03,EWR,Newark,0.6880043406485579,0.9384172867013378,ATL,Atlanta,0.3621887489465847,0.7387003640355518,7.1875,5.7760280470200005,0.2173831542116862,0.24307069844332949,0.8036212934984348,0.18712218045729256,1148.3068853131601,0.1786226238308058,2,3,10,2011,0
2011-09-17,PHX,Phoenix,0.3528406081525697,0.20173963223618063,ORD,Chicago,0.7473928633272919,0.6710189398000861,12.208333333299999,8.187897573039999,0.46334249770778263,0.4052085011256352,0.6706810298754148,0.08302146743737626,2679.014872379074,0.4543038538196032,2,17,9,2011,0
2012-10-04,ORD,Chicago,0.7473928633272919,0.6710189398000861,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,11.9,10.5775332912,0.4482379405153642,0.5658516372379673,0.8888683437983192,0.25387606281927977,1408.7645504937798,0.22553117209979162,2,4,10,2012,0
2012-11-02,MSP,Minneapolis,0.881461320896298,0.5675158208024074,DEN,Denver,0.6496383639449108,0.34459434731456895,10.0,9.2951600309,0.35516120969796616,0.4796441619162436,0.92951600309,0.2857057748984867,1275.4904022040619,0.20152843517238794,2,2,11,2012,0
2011-09-29,ORD,Chicago,0.7473928633272919,0.6710189398000861,EWR,Newark,0.6880043406485579,0.9384172867013378,11.6818181818,9.45861342721,0.4375497034828106,0.4906323079302597,0.8096867525250734,0.19187182208021492,1527.9398870021992,0.24699470637973342,2,29,9,2011,0
2012-06-11,DEN,Denver,0.6496383639449108,0.34459434731456895,ATL,Atlanta,0.3621887489465847,0.7387003640355518,11.3684210526,10.1061616316,0.42219708230728764,0.5341637020865273,0.8889679213006174,0.2539540383603798,2249.1880633960923,0.37689184291756184,2,11,6,2012,0
2012-03-31,DEN,Denver,0.6496383639449108,0.34459434731456895,ATL,Atlanta,0.3621887489465847,0.7387003640355518,10.619047619,7.31762386623,0.3854869615910263,0.3467043967236012,0.6891035927870812,0.09744751025159148,2249.1880633960923,0.37689184291756184,2,31,3,2012,0
2013-02-27,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,BOS,Boston,0.765205407339852,1.0,8.2,6.31551377844,0.26698325418674695,0.27933759850870643,0.7701846071268293,0.16093912050656212,2887.7278382421723,0.49189315735099653,2,27,2,2013,0
2012-06-19,ORD,Chicago,0.7473928633272919,0.6710189398000861,SFO,San Francisco,0.5460776929914688,0.0,13.48,9.3724774384,0.5256385903529899,0.4848418205896915,0.6952876437982196,0.10229001696901885,3833.4597352605124,0.6622199177864786,2,19,6,2012,0
2011-10-07,SEA,Seattle,1.0000000000000002,0.0012766862525279699,SFO,San Francisco,0.5460776929914688,0.0,12.458333333299999,8.72766300044,0.4755894359732297,0.44149420373863235,0.7005482007060885,0.10640936884982988,584.4685506498537,0.07707507398574046,2,7,10,2011,0
2012-10-16,SFO,San Francisco,0.5460776929914688,0.0,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,14.416666666700001,10.977909307000001,0.5715237857224982,0.5927668939498969,0.7614734779404359,0.15411775025500551,2821.5329251956728,0.47997142230952744,2,16,10,2012,0
2012-06-08,ORD,Chicago,0.7473928633272919,0.6710189398000861,LAS,Las Vegas,0.4750149960172241,0.14060113014463704,12.48,8.261961026289999,0.47665083729120156,0.41018741289489447,0.6620161078758012,0.0762362803628297,3029.579253321205,0.5174406640701572,2,8,6,2012,0
2011-12-09,SFO,San Francisco,0.5460776929914688,0.0,LAS,Las Vegas,0.4750149960172241,0.14060113014463704,12.1363636364,9.55333626364,0.4598168639681138,0.4970000456527638,0.7871662838930722,0.1742368574860269,807.5231832777396,0.1172473184615949,2,9,12,2011,0
2011-12-13,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,SEA,Seattle,1.0000000000000002,0.0012766862525279699,8.647058823530001,6.2343922766199995,0.2888836614379283,0.273884209793651,0.7209841408335562,0.12241201455342487,872.1623199440232,0.1288888574436527,2,13,12,2011,0
2012-03-16,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,13.222222222200001,9.75993904983,0.513010636229307,0.5108889071436118,0.7381466508287196,0.13585135549511507,2377.1599998508937,0.3999396489942337,2,16,3,2012,0
2011-11-08,SFO,San Francisco,0.5460776929914688,0.0,DEN,Denver,0.6496383639449108,0.34459434731456895,11.142857142899999,7.970481254510001,0.41114721319925235,0.3905927004890639,0.715299599760967,0.11796065600545624,1971.1346885251635,0.32681429903939496,2,8,11,2011,0
2012-12-01,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,LGA,New York,0.6919176200316315,0.9441805859593362,11.7368421053,10.9536503569,0.4402452018597193,0.5911360872988073,0.9332706582082814,0.2886459095447165,2571.4703686921193,0.43493503801314476,1,1,12,2012,2
2012-08-23,ORD,Chicago,0.7473928633272919,0.6710189398000861,PHX,Phoenix,0.3528406081525697,0.20173963223618063,10.210526315800001,7.480188257939999,0.3654744208693847,0.3576327794499006,0.7325957572201724,0.13150465144324053,2679.014872379074,0.4543038538196032,2,23,8,2012,0
2012-10-31,LGA,New York,0.6919176200316315,0.9441805859593362,DTW,Detroit,0.7581909654479757,0.7596208255651364,11.5263157895,9.26383902334,0.42993199068830085,0.4775386088219373,0.8037120613838271,0.1871932575059695,1054.935853740084,0.16180645703289903,1,31,10,2012,0
2012-03-02,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,SFO,San Francisco,0.5460776929914688,0.0,13.0,10.5751280528,0.5021244688833315,0.5656899452123847,0.8134713886769231,0.19483543378964963,487.13881467586566,0.059545942659244996,2,2,3,2012,0
2012-07-05,ATL,Atlanta,0.3621887489465847,0.7387003640355518,MIA,Miami,0.0,0.8192441545511606,11.791666666700001,8.987813811010001,0.4429309339353034,0.4589828283664519,0.7622174256665379,0.15470030881646868,473.55355045901877,0.05709923017020781,2,5,7,2012,1
2012-07-13,CLT,Charlotte,0.4350230308347669,0.8065405004832809,ATL,Atlanta,0.3621887489465847,0.7387003640355518,10.0,8.32466215531,0.35516120969796616,0.41440249301234133,0.832466215531,0.20970959580279647,388.234640924886,0.04173325434698252,2,13,7,2012,1
2011-09-20,PHX,Phoenix,0.3528406081525697,0.20173963223618063,ORD,Chicago,0.7473928633272919,0.6710189398000861,11.7619047619,8.50825929262,0.44147296509231254,0.4267448009610335,0.723374271842479,0.12428363971392131,2679.014872379074,0.4543038538196032,2,20,9,2011,0
2012-04-02,ORD,Chicago,0.7473928633272919,0.6710189398000861,SFO,San Francisco,0.5460776929914688,0.0,12.0454545455,10.2700548185,0.45536343187203293,0.5451814129999436,0.8526083245514996,0.22548215299212804,3833.4597352605124,0.6622199177864786,2,2,4,2012,0
2011-11-06,MCO,Orlando,0.12172951756461914,0.799418501658604,ATL,Atlanta,0.3621887489465847,0.7387003640355518,12.041666666700001,8.045950462230001,0.4551778722007505,0.39566611402901086,0.6681758169307456,0.08105972577462217,353.95533631165074,0.03555953542816277,2,6,11,2011,0
2011-12-09,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,LAS,Las Vegas,0.4750149960172241,0.14060113014463704,13.44,9.66988452189,0.5236790802305185,0.5048349962150721,0.7194854554977679,0.12123844826285035,2016.491722110575,0.33498312216772885,2,9,12,2011,0
2011-10-15,ATL,Atlanta,0.3621887489465847,0.7387003640355518,MCO,Orlando,0.12172951756461914,0.799418501658604,14.5483870968,9.68448487592,0.5779764736254294,0.5058165042507554,0.6656741267250277,0.07910074264135059,353.95533631165074,0.03555953542816277,2,15,10,2011,0
